record_id,label_raw,label_name,source_db,source_path,quality_score,fixed_rms,crest_factor_db,zero_ratio,was_repeated_to_15s,drift_ratio_0_20,very_low_ratio_20_80,s1s2_low_ratio_20_150,cardiac_mid_ratio_150_500,murmur_like_ratio_200_600,high_cardiac_ratio_300_800,broadband_ratio_500_1000,hf_noise_ratio_700_1800,very_hf_noise_ratio_1000_1800,low_to_mid_ratio_db,high_to_heart_ratio_db,spectral_centroid_hz_ac,spectral_bandwidth_hz_ac,spectral_rolloff85_hz_ac,spectral_flatness_20_1800_ac,spectral_contrast_mean,spectral_contrast_std,zcr_mean,zcr_std,seg_rms_min,seg_rms_p10,seg_rms_median,seg_rms_mean,seg_rms_std,seg_rms_cv,seg_peak_max,seg_peak_median,env_period_sec,env_period_hz,env_autocorr_peak,env_autocorr_peak_norm,cluster_id,cluster_acoustic_profile,cluster_size,usable_for_5train_3val
a0018,1,abnormal,training-a,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-a/a0018.wav,0.6824135802469136,0.11164575972131116,18.670788169136102,0.08706666666666667,False,0.033772414853860115,0.9427046746892992,0.9666248614132265,0.0013577759419199271,0.0003676373342223919,7.23633630498676e-05,2.343929973475139e-05,1.2182801880367167e-05,4.6028852554874105e-15,28.524298516653484,-44.34148029290685,43.21701255674523,15.891342169768077,53.199999999999996,3.245846159627807e-08,26.573328024223645,17.222539401117235,0.01820070962153518,0.0027169999907564408,0.10108230196472612,0.1041525482850561,0.10921389891862472,0.11300399448932863,0.009549155250931753,0.08450281147701583,0.9580355882644653,0.773624062538147,0.896,1.1160714285714286,0.8626400379682014,0.8626400379682014,0,clean_periodic_abnormal,308,True
a0371,1,abnormal,training-a,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-a/a0371.wav,0.6697808641975307,0.1327284055948298,16.23495753686386,0.05488333333333333,False,0.060915069327764276,0.9080305356723142,0.9374643738791635,0.001595041440822602,0.0006966868325674823,0.00010687717635160887,7.993162529251571e-05,5.558575000930162e-05,3.973475973741047e-15,27.69182801418046,-38.406980897638995,36.89277049380371,17.979577406668863,45.266666666666666,4.043096524471778e-08,27.279073000069783,18.088793064699818,0.017626016124733475,0.0029111917509036123,0.1126138711013097,0.12006766777873931,0.13462811919291348,0.13293941350225524,0.010161946224958708,0.0764404321457479,0.8604224920272827,0.8023680448532104,0.848,1.179245283018868,0.5968087188923392,0.5968087188923392,0,clean_periodic_abnormal,308,True
a0244,1,abnormal,training-a,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-a/a0244.wav,0.6319351851851852,0.10069532670773616,19.654824889815306,0.16385,False,0.017618258606555498,0.9587193441311855,0.9777139172782406,0.00488774949168655,0.0031428351315012704,0.00035525103480504394,1.667506812377023e-05,4.358039704972653e-06,4.474594986423772e-15,23.01102857976033,-46.69474048185012,37.232679986876576,19.891172327274578,45.333333333333336,3.8533007903435816e-08,25.828116232320273,16.28283839450433,0.01920225879530917,0.0033999313026901483,0.07358710662291838,0.08396038321096619,0.09589791516251835,0.09837904327960822,0.012636133194606361,0.12844334281487382,0.9677218794822693,0.612868070602417,0.704,1.4204545454545456,0.6964123441787323,0.6964123441787323,0,clean_periodic_abnormal,308,True
e02074,1,abnormal,training-e,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e02074.wav,0.630716049382716,0.1438431385646672,16.330170658903164,0.02045,False,0.19437449024481232,0.8054828670817423,0.8112193243614784,0.0008291186986151127,0.00047356087905873166,0.00032485463533820475,0.00019834267537333384,9.080870807223523e-05,4.460695151859181e-15,29.905215779675718,-34.48456663489493,28.03924012430096,16.450601365219633,36.06666666666666,5.6244772474073685e-08,26.703505482719077,19.226085662000937,0.014132046242004264,0.002321705516242314,0.11414047956547091,0.13165574016087273,0.1441704424911998,0.14233593139032458,0.009378824591193066,0.06589217840493494,0.942752480506897,0.8135464191436768,1.056,0.9469696969696969,0.7773717512630816,0.7773717512630816,0,clean_periodic_abnormal,308,True
e02065,1,abnormal,training-e,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e02065.wav,0.6277638888888888,0.12562833022242298,18.16554963527517,0.10916666666666666,False,0.12854622719054382,0.8699197779823958,0.8841559244768855,0.0021671256965754967,0.001340003881384839,0.0004931136467057208,0.0002158878792485747,9.564538177304517e-05,4.206494746891923e-15,26.10644759568824,-34.54087622774863,35.92618227414156,20.563416571991695,49.4,7.325376201563611e-08,26.74655759109962,19.2648476207331,0.015102362073560768,0.0032836805626797853,0.11713110011687403,0.11891294885512758,0.1263959387235905,0.12595978245222683,0.005458159722168705,0.04333255910397894,1.0171033143997192,0.9197232723236084,1.008,0.9920634920634921,0.5116227330564528,0.5116227330564528,0,clean_periodic_abnormal,308,True
e00388,1,abnormal,training-e,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00388.wav,0.6160216049382716,0.15133839806632235,15.814922578427645,0.1408,False,0.09375121951161206,0.8425502200319147,0.8995958022407544,0.006918494712128156,0.002589921903920753,0.0007019478799312586,0.00012377301927339235,4.0822075379418293e-05,4.484007923989738e-15,21.14035806892121,-37.40957769892271,37.899247069716544,26.248899992878776,51.666666666666664,5.9336495024500274e-08,25.578633500013478,17.969088124354105,0.01634544909381663,0.00493660031628816,0.12440814364071053,0.1335504388454893,0.1523404689578972,0.15052358984148828,0.014012967456269091,0.09309482627750394,0.9347495436668396,0.93248450756073,0.352,2.8409090909090913,0.27592148900715624,0.27592148900715624,0,clean_periodic_abnormal,308,True
e00528,1,abnormal,training-e,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00528.wav,0.5991851851851853,0.13683162112917466,15.562290959992707,0.0438,False,0.15726050635083438,0.7989673081146321,0.8318882179337472,0.01212165851755242,0.005610079755742834,0.0009507443422463943,9.886623401640738e-05,4.3784271668324785e-05,4.435951496879851e-15,18.365029281892607,-37.72074213155684,34.812637626762374,28.879926696531026,49.46666666666667,7.773872684909804e-08,26.248678641982334,18.515270796830883,0.016574493603411514,0.005608046496693024,0.0995008798435626,0.12703668473165539,0.13596166135385582,0.1358279791966563,0.01322543650058552,0.09736901461001925,0.8209203481674194,0.7150680422782898,1.008,0.9920634920634921,0.2836349962653886,0.2836349962653886,0,clean_periodic_abnormal,308,True
e00020,1,abnormal,training-e,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00020.wav,0.5982500000000001,0.19037798139142342,13.2611233877992,0.017683333333333332,False,0.08471143268141823,0.8972046551840692,0.9102720703596829,0.003934608876050201,0.002719875881019379,0.002005046813803397,0.0012890363544033323,0.0006079245076489879,4.654737856838066e-15,23.642696502522362,-26.829860192887942,44.91893950950032,31.81158469876264,51.666666666666664,9.742684472327391e-08,26.38628091490576,20.64414999827174,0.026052771855010662,0.002335468856801318,0.16052298932581083,0.1635141730044512,0.18033674221924506,0.18656244985892773,0.023573703346689474,0.12635824278615174,0.8763405084609985,0.6817731261253357,0.8320000000000001,1.2019230769230769,0.4935268406869268,0.4935268406869268,0,clean_periodic_abnormal,308,True
a0057,1,abnormal,training-a,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-a/a0057.wav,0.5939413580246913,0.1258409972025602,18.066726620458645,0.09075,False,0.10235738565719635,0.8360037213104937,0.8915510087320091,0.006164308768576981,0.0020865758424010784,0.0002821684669806051,3.7227800663255634e-05,1.0053281317639897e-05,3.877797055401377e-15,21.602618114333865,-42.78451229121308,40.48193669797094,25.234314769132013,59.86666666666667,4.264954476962761e-08,25.985972484032832,16.478273912585113,0.02025169909381663,0.004141422356681066,0.10431032295223487,0.1069129283037067,0.1258266838099582,0.12491513715956527,0.012150455197427275,0.097269678151011,1.0072991847991943,0.9931895136833191,0.8320000000000001,1.2019230769230769,0.7368851280051689,0.7368851280051689,0,clean_periodic_abnormal,308,True
c0015,1,abnormal,training-c,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-c/c0015.wav,0.5846728395061729,0.1338356491408486,12.43600402672155,0.0187,False,0.3951995675199783,0.4438915133806764,0.4845920682980323,0.12037746563606515,0.017639251349846324,0.004931669525712713,0.0001274890156681095,1.913283718751981e-05,4.451714913076569e-15,6.048311057409989,-36.15534800906331,46.62104750704533,57.394853412930374,100.6,1.1517603995827866e-07,25.777712772104756,16.249100095541145,0.02849730143923241,0.012713286568004113,0.11605129770552515,0.1220394611502757,0.1309314516410151,0.1338271119171783,0.01114942396945316,0.08331214655534074,0.5602372884750366,0.5029653310775757,0.8,1.25,0.6966640154113336,0.6966640154113336,0,clean_periodic_abnormal,308,True
