name,base_id,segment_index,source_m_path,teacher_ckpt,teacher_experiment,sr,segment_samples,pseudo_label_type,uses_real_v1_h_l_targets,apply_mixture_polarity_calibration,apply_mixture_gain_calibration,pre_mix_nmse,pre_mix_nmse_db,pre_mix_gain_error_db,pre_mix_gamma,pre_negative_mix_gamma,pre_mix_corr,polarity_flipped,mix_gamma_before_polarity,mix_corr_before_polarity,mix_gamma_after_polarity,mix_corr_after_polarity,gain_calibration_gamma,mix_nmse_db_before_gain,mix_corr_before_gain,mix_gain_error_db_before_gain,mix_nmse_db_after_gain,mix_corr_after_gain,mix_gain_error_db_after_gain,final_mix_nmse,final_mix_nmse_db,final_mix_gain_error_db,final_mix_gamma,final_negative_mix_gamma,final_mix_corr,rms_m,rms_h_pseudo,rms_l_pseudo,pseudo_h_over_l_snr_db,abs_pseudo_h_over_l_snr_db,pseudo_h_energy_fraction,pseudo_l_energy_fraction,pseudo_h_l_corr,abs_pseudo_h_l_corr,peak_m,peak_h_pseudo,peak_l_pseudo,confidence_pass,confidence_reason,all_m_pseudo_path,all_h_pseudo_path,all_l_pseudo_path,confident_m_pseudo_path,confident_h_pseudo_path,confident_l_pseudo_path
M0003_s012_orig,M0003,12,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0003_s012_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,4.445291719786634,6.479002665742754,1.1430136023990338,-0.8240202080521261,1.0,-0.9399149510539002,1.0,-0.8240202080521261,-0.9399149510539002,0.8240202080521261,0.9399149510539002,0.8240202080521261,-8.045081609134943,0.9399149510539002,1.1430136023990338,-9.334508928534136,0.939914951346269,-0.5382286790248455,0.11655988415910865,-9.334508928534136,-0.5382286790248455,1.0000000018001207,0.0,0.939914951346269,0.18045606585350366,0.11964386801077415,0.10852332503354446,0.8473470692259056,0.8473470692259056,0.5486228593176767,0.45137675742275213,0.1030770518632241,0.1030770518632241,0.8012264966964722,0.9565662741661072,0.4251083433628082,False,mix_corr<0.95;mix_nmse_db>-10.0,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0003_s012_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0003_s012_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0003_s012_orig.wav,,,
M0004_s000_orig,M0004,0,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0004_s000_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,4.832128524942064,6.841384771302112,1.91162464288861,-0.7338078000742299,1.0,-0.9144576626679205,1.0,-0.7338078000742299,-0.9144576626679205,0.7338078000742299,0.9144576626679205,0.7338078000742299,-5.625541064830777,0.9144576626679205,1.91162464288861,-7.857731216574562,0.9144576627571779,-0.7767273951762057,0.16376718287177017,-7.857731216574562,-0.7767273951762057,0.9999999984446939,0.0,0.9144576627571779,0.1276308372227087,0.09234895726678667,0.0634232859234905,3.263665145350392,3.263665145350392,0.6795020096650288,0.3204971935763831,0.09143594544399278,0.09143594544399278,0.8888255953788757,0.676612913608551,1.0643854141235352,False,mix_corr<0.95;mix_nmse_db>-10.0,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0004_s000_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0004_s000_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0004_s000_orig.wav,,,
M0004_s001_orig,M0004,1,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0004_s001_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,6.239117463498865,7.951231621440935,3.8882722917837995,-0.5700416788215517,1.0,-0.8919085628191896,1.0,-0.5700416788215517,-0.8919085628191896,0.5700416788215517,0.8919085628191896,0.5700416788215517,-1.823928022762221,0.8919085628191896,3.8882722917837995,-6.893085636282679,0.8919085620977942,-0.9935927233219343,0.20449911664691714,-6.893085636282679,-0.9935927233219343,1.0000000375958231,0.0,0.8919085620977942,0.10885971128798834,0.07102173959127578,0.060654900289342555,1.3705082496856327,1.3705082496856327,0.5782438759346721,0.4217549776857765,0.08170513250571455,0.08170513250571455,0.8888255953788757,0.6212268471717834,0.9154501557350159,False,mix_corr<0.95;mix_nmse_db>-10.0,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0004_s001_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0004_s001_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0004_s001_orig.wav,,,
M0004_s002_orig,M0004,2,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0004_s002_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,5.803524192819066,7.636917991992442,3.2457117212655517,-0.6375189508822551,1.0,-0.9263578202608617,1.0,-0.6375189508822551,-0.9263578202608617,0.6375189508822551,0.9263578202608617,0.6375189508822551,-3.7749184912632243,0.9263578202608617,3.2457117212655517,-8.48136404262017,0.9263578200376357,-0.6644241561173286,0.14186118906541773,-8.48136404262017,-0.6644241561173286,1.000000016500212,0.0,0.9263578200376357,0.1146422338658942,0.0815898634487608,0.058886161694412936,2.8324591826498486,2.8324591826498486,0.6575049179550067,0.34249409434149275,0.12008606619646643,0.12008606619646643,0.8888255953788757,0.6764972805976868,0.8496189117431641,False,mix_corr<0.95;mix_nmse_db>-10.0,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0004_s002_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0004_s002_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0004_s002_orig.wav,,,
M0004_s003_orig,M0004,3,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0004_s003_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,5.682930721977371,7.545723617905806,3.0925740766483005,-0.6487622802727016,1.0,-0.9262204739168148,1.0,-0.6487622802727016,-0.9262204739168148,0.6487622802727016,0.9262204739168148,0.6487622802727016,-4.049775743987504,0.9262204739168148,3.0925740766483005,-8.473581416834378,0.9262204733973131,-0.6657118889693252,0.14211563447632153,-8.473581416834378,-0.6657118889693252,0.9999999940343887,0.0,0.9262204733973131,0.11661546022733703,0.08301591444452461,0.0597404100007632,2.8578631457560553,2.8578631457560553,0.6588209770878447,0.34117806694118025,0.12158385144150179,0.12158385144150179,0.7916730642318726,0.585538387298584,0.841400146484375,False,mix_corr<0.95;mix_nmse_db>-10.0,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0004_s003_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0004_s003_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0004_s003_orig.wav,,,
M0004_s004_orig,M0004,4,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0004_s004_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,7.346014103932023,8.660517578309426,4.906949017095949,-0.5251227072969588,1.0,-0.9238647358109916,1.0,-0.5251227072969588,-0.9238647358109916,0.5251227072969588,0.9238647358109916,0.5251227072969588,-0.7341162058027868,0.9238647358109916,4.906949017095949,-8.342396067182861,0.9238647356709463,-0.6878315695460956,0.1464739499444891,-8.342396067182861,-0.6878315695460956,1.0000000102170024,0.0,0.9238647356709463,0.10209222997412154,0.06795424180576932,0.0573932665297677,1.4671125593549708,1.4671125593549708,0.5836589618247409,0.4163397742365465,0.12620126658430156,0.12620126658430156,0.7736736536026001,0.5529804229736328,0.5949676036834717,False,mix_corr<0.95;mix_nmse_db>-10.0,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0004_s004_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0004_s004_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0004_s004_orig.wav,,,
M0004_s005_orig,M0004,5,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0004_s005_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,6.119578843616255,7.867215345332687,3.6908480321688235,-0.5942567841614083,1.0,-0.9089011324622001,1.0,-0.5942567841614083,-0.9089011324622001,0.5942567841614083,0.9089011324622001,0.5942567841614083,-2.525795277958548,0.9089011324622001,3.6908480321688235,-7.597035848497202,0.9089011320686775,-0.8296667813561796,0.1738987319350047,-7.597035848497202,-0.8296667813561796,1.0000000418318515,0.0,0.9089011320686775,0.11468909114071074,0.07645151618593801,0.06399328715261665,1.5450336709627224,1.5450336709627224,0.5880123815100603,0.4119866124522172,0.09466070842109131,0.09466070842109131,0.7736736536026001,0.5544360280036926,0.6560508608818054,False,mix_corr<0.95;mix_nmse_db>-10.0,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0004_s005_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0004_s005_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0004_s005_orig.wav,,,
M0004_s006_orig,M0004,6,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0004_s006_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,7.439567000039906,8.715476593408138,5.104390391578683,-0.4940021986297208,1.0,-0.889095771095455,1.0,-0.4940021986297208,-0.889095771095455,0.4940021986297208,0.889095771095455,0.4940021986297208,0.1655547612299753,0.889095771095455,5.104390391578683,-6.787979181893734,0.8890957711288666,-1.0210280946981436,0.2095087095237716,-6.787979181893734,-1.0210280946981436,1.0000000096870931,0.0,0.8890957711288666,0.10239087761780828,0.06225770775123981,0.06113313572193119,0.15832907412613356,0.15832907412613356,0.5091124761077306,0.4908862104001035,0.08856474283217747,0.08856474283217747,0.8780301213264465,0.5829890966415405,0.6334161162376404,False,mix_corr<0.95;mix_nmse_db>-10.0,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0004_s006_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0004_s006_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0004_s006_orig.wav,,,
M0004_s007_orig,M0004,7,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0004_s007_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,6.384176427901258,8.05104880317177,4.0501721135663455,-0.5594290152286882,1.0,-0.8917717275043424,1.0,-0.5594290152286882,-0.8917717275043424,0.5594290152286882,0.8917717275043424,0.5594290152286882,-1.561614569166518,0.8917717275043424,4.0501721135663455,-6.887905405422399,0.8917717267666839,-0.9949255241133319,0.20474318713922054,-6.887905405422399,-0.9949255241133319,1.0000000469292394,0.0,0.8917717267666839,0.11137848340378229,0.07042106233197461,0.06443392836180822,0.7717592478503787,0.7717592478503787,0.5443088941513212,0.4556900082583133,0.08313476127971631,0.08313476127971631,0.8780301213264465,0.6012864708900452,0.6621437668800354,False,mix_corr<0.95;mix_nmse_db>-10.0,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0004_s007_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0004_s007_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0004_s007_orig.wav,,,
M0004_s008_orig,M0004,8,/nas/home/pcallandrone/DeepLearning/dataset/processed/M1_segmented_only/M_M0004_s008_orig.wav,/nas/home/pcallandrone/DeepLearning/outputs/checkpoints/EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG/finetune_fold1_best.pt,EXP_H_FULL_TO_TORABI_FOLD2_MIXED_REPLAY005_NOAUG,4000,8000,teacher_generated_not_ground_truth,False,True,True,5.6660112301711845,7.5327743096742985,3.086788992379454,-0.6461374209575996,1.0,-0.9218588721070714,1.0,-0.6461374209575996,-0.9218588721070714,0.6461374209575996,0.9218588721070714,0.6461374209575996,-3.9247675982678625,0.9218588721070714,3.086788992379454,-8.233988288591483,0.9218588714962193,-0.7067106213056816,0.15017622082650653,-8.233988288591483,-0.7067106213056816,1.0000000091448267,0.0,0.9218588714962193,0.10711849087014443,0.07928172358587282,0.048569228788736665,4.256237512164326,4.256237512164326,0.7271143010331821,0.27288454217150515,0.14369595412354935,0.14369595412354935,0.8780301213264465,0.7030355930328369,0.6065122485160828,False,mix_corr<0.95;mix_nmse_db>-10.0,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/M_M0004_s008_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/H_M0004_s008_orig.wav,/nas/home/pcallandrone/DeepLearning/dataset/processed/v1_real_ssl_pseudo_from_mixed_noaug/all/L_M0004_s008_orig.wav,,,
