source_id,original_source_id,target_class,source_path,source_kind,selection_origin,selected_id,split,output_file,output_path,fixed_rms_after_write,was_repeated_to_15s_after_write,modality,source_name,ranking_index,similarity_label,frac_inside_selected_icbhi_p95,median_centroid_dist,file_type,location,condition_group,has_any_adventitious,has_wheeze,has_rhonchi,has_stridor,has_crackle
HS_e01245,e01245,unknown,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e01245.wav,hs,hs_quality_csv,1,val,hs_physionet_001_e01245.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/HS_PHYSIONET/hs_physionet_001_e01245.wav,0.15424722567808516,False,HS,,,,,,,,,,,,,
HS_e01620,e01620,unknown,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e01620.wav,hs,hs_quality_csv,2,val,hs_physionet_002_e01620.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/HS_PHYSIONET/hs_physionet_002_e01620.wav,0.153852146273324,False,HS,,,,,,,,,,,,,
HS_e00744,e00744,unknown,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00744.wav,hs,hs_quality_csv,3,val,hs_physionet_003_e00744.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/HS_PHYSIONET/hs_physionet_003_e00744.wav,0.1571929983653912,False,HS,,,,,,,,,,,,,
HS_e00437,e00437,unknown,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00437.wav,hs,hs_quality_csv,4,val,hs_physionet_004_e00437.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/HS_PHYSIONET/hs_physionet_004_e00437.wav,0.15512263878342675,False,HS,,,,,,,,,,,,,
HS_e01348,e01348,unknown,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e01348.wav,hs,hs_quality_csv,5,val,hs_physionet_005_e01348.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/HS_PHYSIONET/hs_physionet_005_e01348.wav,0.1110983773472182,False,HS,,,,,,,,,,,,,
HS_e01113,e01113,unknown,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e01113.wav,hs,hs_quality_csv,6,val,hs_physionet_006_e01113.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/HS_PHYSIONET/hs_physionet_006_e01113.wav,0.15722661010009442,False,HS,,,,,,,,,,,,,
HS_e01110,e01110,unknown,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e01110.wav,hs,hs_quality_csv,7,val,hs_physionet_007_e01110.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/HS_PHYSIONET/hs_physionet_007_e01110.wav,0.13995494323562502,False,HS,,,,,,,,,,,,,
HS_e01850,e01850,unknown,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e01850.wav,hs,hs_quality_csv,8,val,hs_physionet_008_e01850.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/HS_PHYSIONET/hs_physionet_008_e01850.wav,0.16755312618233867,False,HS,,,,,,,,,,,,,
HS_e00438,e00438,unknown,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00438.wav,hs,hs_quality_csv,9,val,hs_physionet_009_e00438.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/HS_PHYSIONET/hs_physionet_009_e00438.wav,0.1619726150237965,False,HS,,,,,,,,,,,,,
HS_e00738,e00738,unknown,/nas/home/pcallandrone/DeepLearning/dataset/PHYSIONET_2016/training-e/e00738.wav,hs,hs_quality_csv,10,val,hs_physionet_010_e00738.wav,/nas/home/pcallandrone/DeepLearning/dataset/HFLUNG_SELECTED_20X20_EXTERNAL_VAL_HS_UNSEEN_SELECTED/HS_PHYSIONET/hs_physionet_010_e00738.wav,0.12097284604623294,False,HS,,,,,,,,,,,,,
